Renderer;CellID;PipeType;Coords;FlowDir;Reverse;Description
renderBD;unknown;pipe-air;138_393->137_373;flow-down;1;Fluid animation direction for pipe-air
renderBD;unknown;pipe-blowdown;263_301->275_387;flow-up;0;Fluid animation direction for pipe-blowdown
renderBD;unknown;pipe-blowdown;478_420->567_420;flow-left;1;Fluid animation direction for pipe-blowdown
renderBD;unknown;pipe-blowdown;329_419->431_420;flow-left;1;Fluid animation direction for pipe-blowdown
renderBD;unknown;pipe-blowdown;609_421->678_441;flow-left;1;Fluid animation direction for pipe-blowdown
renderBD;unknown;pipe-condensate;756_256->599_63;flow-down;1;Fluid animation direction for pipe-condensate
renderBD;unknown;pipe-feedwater;494_108->387_302;flow-down;1;Fluid animation direction for pipe-feedwater
renderBD;unknown;pipe-gas;213_246->198_96;flow-down;1;Fluid animation direction for pipe-gas
renderBD;unknown;pipe-gas;88_341->108_341;flow-left;1;Fluid animation direction for pipe-gas
renderBD;unknown;pipe-steam;301_246->490_245;flow-left;1;Fluid animation direction for pipe-steam
renderBD;unknown;pipe-steam;530_230->529_154;flow-down;1;Fluid animation direction for pipe-steam
renderBD;unknown;pipe-steam;565_230->696_211;flow-left;1;Fluid animation direction for pipe-steam
renderBD;unknown;pipe-water;396_22->603_396;flow-down;1;Fluid animation direction for pipe-water
renderBD;unknown;pipe-water;577_408->564_63;flow-down;1;Fluid animation direction for pipe-water
renderECO;unknown;pipe-air;138_393->137_373;flow-down;0;Fluid animation direction for pipe-air
renderECO;unknown;pipe-blowdown;263_301->275_388;flow-up;0;Fluid animation direction for pipe-blowdown
renderECO;unknown;pipe-blowdown;329_420->384_428;flow-left;0;Fluid animation direction for pipe-blowdown
renderECO;unknown;pipe-condensate;756_256->599_64;flow-down;0;Fluid animation direction for pipe-condensate
renderECO;unknown;pipe-feedwater;494_108->269_170;flow-right;0;Fluid animation direction for pipe-feedwater
renderECO;unknown;pipe-feedwater;257_190->387_302;flow-right;0;Fluid animation direction for pipe-feedwater
